name,description,pricePerNight,maxGuests,bedrooms,bathrooms,beds,quantity,size,status,propertyName,imageUrls
Suite Prestige Marseille,Suite haut de gamme avec service de chambre 24h/24 et produits d'accueil bio.,216,2,1,1,1,1,48,maintenance,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-9/800/600
Chambre Économique Marseille,Option économique propre et fonctionnelle pour courts séjours.,74,1,1,1,1,1,16,available,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-10/800/600;https://picsum.photos/seed/room-marseille-vieux-port-10-b/800/600
Chambre Accessible PMR Marseille,"Chambre adaptée mobilité réduite, douche à l'italienne et barres d'appui.",103,2,1,1,1,1,25,available,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-11/800/600
Duplex Vue Marseille,"Duplex avec mezzanine, salon et literie king size pour séjours prolongés.",172,3,1,1,2,1,45,maintenance,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-12/800/600
Chambre Standard Toulouse,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",79,2,1,1,1,1,22,available,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-1/800/600;https://picsum.photos/seed/room-toulouse-canal-1-b/800/600
Chambre Supérieure Toulouse,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",91,2,1,1,1,1,26,available,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-2/800/600
Chambre Deluxe Toulouse,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",107,2,1,1,1,1,30,available,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-3/800/600
Chambre Twin Toulouse,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",87,2,1,1,2,1,24,available,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-4/800/600;https://picsum.photos/seed/room-toulouse-canal-4-b/800/600
Chambre Familiale Toulouse,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,115,4,2,1,2,1,38,available,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-5/800/600
Studio Affaires Toulouse,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",95,1,1,1,1,1,28,occupied,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-6/800/600
Junior Suite Toulouse,"Junior suite avec salon séparé, baignoire et vue sur la ville.",130,2,1,1,1,1,36,available,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-7/800/600;https://picsum.photos/seed/room-toulouse-canal-7-b/800/600
Suite Panorama Toulouse,Suite avec balcon ou terrasse et vue panoramique sur les environs.,150,2,1,1,1,1,42,available,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-8/800/600
Suite Prestige Toulouse,Suite haut de gamme avec service de chambre 24h/24 et produits d'accueil bio.,174,2,1,1,1,1,48,maintenance,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-9/800/600
Chambre Économique Toulouse,Option économique propre et fonctionnelle pour courts séjours.,59,1,1,1,1,1,16,available,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-10/800/600;https://picsum.photos/seed/room-toulouse-canal-10-b/800/600
Chambre Accessible PMR Toulouse,"Chambre adaptée mobilité réduite, douche à l'italienne et barres d'appui.",83,2,1,1,1,1,25,available,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-11/800/600
Duplex Vue Toulouse,"Duplex avec mezzanine, salon et literie king size pour séjours prolongés.",138,3,1,1,2,1,45,maintenance,Toulouse Canal,https://picsum.photos/seed/room-toulouse-canal-12/800/600
Chambre Standard Nantes,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",92,2,1,1,1,1,22,available,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-1/800/600;https://picsum.photos/seed/room-nantes-loire-1-b/800/600
Chambre Supérieure Nantes,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",106,2,1,1,1,1,26,available,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-2/800/600
Chambre Deluxe Nantes,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",124,2,1,1,1,1,30,available,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-3/800/600
Chambre Twin Nantes,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",101,2,1,1,2,1,24,available,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-4/800/600;https://picsum.photos/seed/room-nantes-loire-4-b/800/600
Chambre Familiale Nantes,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,133,4,2,1,2,1,38,available,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-5/800/600
Studio Affaires Nantes,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",110,1,1,1,1,1,28,occupied,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-6/800/600
Junior Suite Nantes,"Junior suite avec salon séparé, baignoire et vue sur la ville.",152,2,1,1,1,1,36,available,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-7/800/600;https://picsum.photos/seed/room-nantes-loire-7-b/800/600
Suite Panorama Nantes,Suite avec balcon ou terrasse et vue panoramique sur les environs.,175,2,1,1,1,1,42,available,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-8/800/600
Suite Prestige Nantes,Suite haut de gamme avec service de chambre 24h/24 et produits d'accueil bio. Accès spa et late check-out sur demande.,202,2,1,1,1,1,48,maintenance,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-9/800/600
Chambre Économique Nantes,Option économique propre et fonctionnelle pour courts séjours.,69,1,1,1,1,1,16,available,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-10/800/600;https://picsum.photos/seed/room-nantes-loire-10-b/800/600
Chambre Accessible PMR Nantes,"Chambre adaptée mobilité réduite, douche à l'italienne et barres d'appui.",97,2,1,1,1,1,25,available,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-11/800/600
Duplex Vue Nantes,"Duplex avec mezzanine, salon et literie king size pour séjours prolongés.",161,3,1,1,2,1,45,maintenance,Nantes Loire,https://picsum.photos/seed/room-nantes-loire-12/800/600
Chambre Standard Strasbourg,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",85,2,1,1,1,1,22,available,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-1/800/600;https://picsum.photos/seed/room-strasbourg-cathedrale-1-b/800/600
Chambre Supérieure Strasbourg,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",98,2,1,1,1,1,26,available,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-2/800/600
Chambre Deluxe Strasbourg,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",115,2,1,1,1,1,30,available,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-3/800/600
Chambre Twin Strasbourg,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",94,2,1,1,2,1,24,available,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-4/800/600;https://picsum.photos/seed/room-strasbourg-cathedrale-4-b/800/600
Chambre Familiale Strasbourg,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,123,4,2,1,2,1,38,available,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-5/800/600
Studio Affaires Strasbourg,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",102,1,1,1,1,1,28,occupied,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-6/800/600
Junior Suite Strasbourg,"Junior suite avec salon séparé, baignoire et vue sur la ville.",140,2,1,1,1,1,36,available,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-7/800/600;https://picsum.photos/seed/room-strasbourg-cathedrale-7-b/800/600
Suite Panorama Strasbourg,Suite avec balcon ou terrasse et vue panoramique sur les environs.,162,2,1,1,1,1,42,available,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-8/800/600
Suite Prestige Strasbourg,Suite haut de gamme avec service de chambre 24h/24 et produits d'accueil bio.,187,2,1,1,1,1,48,maintenance,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-9/800/600
Chambre Économique Strasbourg,Option économique propre et fonctionnelle pour courts séjours.,64,1,1,1,1,1,16,available,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-10/800/600;https://picsum.photos/seed/room-strasbourg-cathedrale-10-b/800/600
Chambre Accessible PMR Strasbourg,"Chambre adaptée mobilité réduite, douche à l'italienne et barres d'appui.",89,2,1,1,1,1,25,available,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-11/800/600
Duplex Vue Strasbourg,"Duplex avec mezzanine, salon et literie king size pour séjours prolongés.",149,3,1,1,2,1,45,maintenance,Strasbourg Cathédrale,https://picsum.photos/seed/room-strasbourg-cathedrale-12/800/600
Chambre Standard Lille,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",72,2,1,1,1,1,22,available,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-1/800/600;https://picsum.photos/seed/room-lille-grand-place-1-b/800/600
Chambre Supérieure Lille,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",83,2,1,1,1,1,26,available,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-2/800/600
Chambre Deluxe Lille,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",97,2,1,1,1,1,30,available,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-3/800/600
Chambre Twin Lille,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",79,2,1,1,2,1,24,available,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-4/800/600;https://picsum.photos/seed/room-lille-grand-place-4-b/800/600
Chambre Familiale Lille,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,104,4,2,1,2,1,38,available,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-5/800/600
Studio Affaires Lille,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",86,1,1,1,1,1,28,occupied,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-6/800/600
Junior Suite Lille,"Junior suite avec salon séparé, baignoire et vue sur la ville.",119,2,1,1,1,1,36,available,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-7/800/600;https://picsum.photos/seed/room-lille-grand-place-7-b/800/600
Suite Panorama Lille,Suite avec balcon ou terrasse et vue panoramique sur les environs.,137,2,1,1,1,1,42,available,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-8/800/600
Suite Prestige Lille,Suite haut de gamme avec service de chambre 24h/24 et produits d'accueil bio.,158,2,1,1,1,1,48,maintenance,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-9/800/600
Chambre Économique Lille,Option économique propre et fonctionnelle pour courts séjours.,54,1,1,1,1,1,16,available,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-10/800/600;https://picsum.photos/seed/room-lille-grand-place-10-b/800/600
Chambre Accessible PMR Lille,"Chambre adaptée mobilité réduite, douche à l'italienne et barres d'appui.",76,2,1,1,1,1,25,available,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-11/800/600
Duplex Vue Lille,"Duplex avec mezzanine, salon et literie king size pour séjours prolongés.",126,3,1,1,2,1,45,maintenance,Lille Grand Place,https://picsum.photos/seed/room-lille-grand-place-12/800/600
Chambre Standard Montpellier,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",105,2,1,1,1,1,22,available,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-1/800/600;https://picsum.photos/seed/room-montpellier-sud-1-b/800/600
Chambre Supérieure Montpellier,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",121,2,1,1,1,1,26,available,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-2/800/600
Chambre Deluxe Montpellier,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",142,2,1,1,1,1,30,available,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-3/800/600
Chambre Twin Montpellier,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",116,2,1,1,2,1,24,available,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-4/800/600;https://picsum.photos/seed/room-montpellier-sud-4-b/800/600
Chambre Familiale Montpellier,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,152,4,2,1,2,1,38,available,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-5/800/600
Studio Affaires Montpellier,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",126,1,1,1,1,1,28,occupied,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-6/800/600
Junior Suite Montpellier,"Junior suite avec salon séparé, baignoire et vue sur la ville.",173,2,1,1,1,1,36,available,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-7/800/600;https://picsum.photos/seed/room-montpellier-sud-7-b/800/600
Suite Panorama Montpellier,Suite avec balcon ou terrasse et vue panoramique sur les environs.,200,2,1,1,1,1,42,available,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-8/800/600
Suite Prestige Montpellier,Suite haut de gamme avec service de chambre 24h/24 et produits d'accueil bio.,231,2,1,1,1,1,48,maintenance,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-9/800/600
Chambre Économique Montpellier,Option économique propre et fonctionnelle pour courts séjours.,79,1,1,1,1,1,16,available,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-10/800/600;https://picsum.photos/seed/room-montpellier-sud-10-b/800/600
Chambre Accessible PMR Montpellier,"Chambre adaptée mobilité réduite, douche à l'italienne et barres d'appui.",110,2,1,1,1,1,25,available,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-11/800/600
Duplex Vue Montpellier,"Duplex avec mezzanine, salon et literie king size pour séjours prolongés.",184,3,1,1,2,1,45,maintenance,Montpellier Sud,https://picsum.photos/seed/room-montpellier-sud-12/800/600
Chambre Standard Rennes,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",115,2,1,1,1,1,22,available,Rennes Bretagne,https://picsum.photos/seed/room-rennes-bretagne-1/800/600;https://picsum.photos/seed/room-rennes-bretagne-1-b/800/600
Chambre Supérieure Rennes,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",132,2,1,1,1,1,26,available,Rennes Bretagne,https://picsum.photos/seed/room-rennes-bretagne-2/800/600
Chambre Deluxe Rennes,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",155,2,1,1,1,1,30,available,Rennes Bretagne,https://picsum.photos/seed/room-rennes-bretagne-3/800/600
Chambre Twin Rennes,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",127,2,1,1,2,1,24,available,Rennes Bretagne,https://picsum.photos/seed/room-rennes-bretagne-4/800/600;https://picsum.photos/seed/room-rennes-bretagne-4-b/800/600
Chambre Familiale Rennes,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,167,4,2,1,2,1,38,available,Rennes Bretagne,https://picsum.photos/seed/room-rennes-bretagne-5/800/600
Studio Affaires Rennes,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",138,1,1,1,1,1,28,occupied,Rennes Bretagne,https://picsum.photos/seed/room-rennes-bretagne-6/800/600
