name,description,address,city,country,latitude,longitude,checkInTime,checkOutTime,ownerEmail,imageUrl
Rennes Bretagne,"Inspiré de l'établissement « Océania » (Saint-Grégoire). Hôtel 3 étoiles avec spa et salles de séminaire, quartier calme proche du centre historique.",9 Rue de Nemours,Rennes,France,48.1543,-1.6961,15:00,11:00,manon.laurent@example.com,https://picsum.photos/seed/hotel-rennes-bretagne/1200/800
Grenoble Alpes,"Inspiré de l'établissement « Hôtel La Tapia » (Autrans-Méaudre en Vercors). Hôtel montagne avec vue sur les Alpes, local à skis et partenariat stations de ski.",6 Rue Thiers,Grenoble,France,45.1738,5.5432,16:00,10:00,jules.lefebvre@example.com,https://picsum.photos/seed/hotel-grenoble-alpes/1200/800
Annecy Lac,"Inspiré de l'établissement « Hôtel Restaurant La villa du lac » (Veyrier-du-Lac). Hôtel 4 étoiles au bord du lac d'Annecy, ponton privé et location de paddle.",11 Rue Royale,Annecy,France,45.8816,6.1788,15:00,11:00,ines.garcia@example.com,https://picsum.photos/seed/hotel-annecy-lac/1200/800
Biarritz Océan,"Inspiré de l'établissement « Résidence La Réserve » (Saint-Jean-de-Luz). Hôtel surf & spa face à l'océan Atlantique, restaurant gastronomique et école de surf partenaire.",4 Avenue de l'Impératrice,Biarritz,France,43.402,-1.6586,15:00,11:00,theo.roux@example.com,https://picsum.photos/seed/hotel-biarritz-ocean/1200/800
Cannes Croisette,"Inspiré de l'établissement « Hôtel Belles Rives » (Antibes). Palace urbain sur la Croisette pour congrès et festival, rooftop panoramique et conciergerie 24h/24.",25 Boulevard de la Croisette,Cannes,France,43.5648,7.1155,15:00,11:00,sarah.fournier@example.com,https://picsum.photos/seed/hotel-cannes-croisette/1200/800
Aix Cours Mirabeau,"Inspiré de l'établissement « hotelF1 » (Meyreuil). Hôtel provençal sur le Cours Mirabeau, terrasse ombragée et cave à vins Côtes de Provence.",17 Cours Mirabeau,Aix-en-Provence,France,43.4906,5.526,15:00,11:00,maxime.girard@example.com,https://picsum.photos/seed/hotel-aix-mirabeau/1200/800
Avignon Palais des Papes,"Inspiré de l'établissement « La Garbure » (Châteauneuf-du-Pape). Maison d'hôtes dans les remparts, patio fleuri et vue sur le Palais des Papes.",3 Rue du Vieux Sextier,Avignon,France,44.0561,4.8314,16:00,10:00,julie.andre@example.com,https://picsum.photos/seed/hotel-avignon-papes/1200/800
Dijon Bourgogne,"Inspiré de l'établissement « La Bonbonnière » (Talant). Hôtel 3 étoiles au cœur des Ducs de Bourgogne, cave voûtée et dégustations de grands crus.",14 Rue de la Liberté,Dijon,France,47.3357,5.0021,15:00,11:00,paul.mercier@example.com,https://picsum.photos/seed/hotel-dijon-bourgogne/1200/800
Tours Loire Valley,"Inspiré de l'établissement « Kyriad » (Joué-lès-Tours). Hôtel château de la Loire, jardins à la française et excursions châteaux partenaires.",28 Avenue de Grammont,Tours,France,47.3621,0.6746,15:00,11:00,clara.blanc@example.com,https://picsum.photos/seed/hotel-tours-loire/1200/800
Toulon Mourillon,"Inspiré de l'établissement « Le Télo » (Saint-Mandrier-sur-Mer). Hôtel balnéaire sur les plages du Mourillon, piscine vue mer et port de plaisance.",7 Avenue de la République,Toulon,France,43.0793,5.9273,15:00,11:00,antoine.guerin@example.com,https://picsum.photos/seed/hotel-toulon-mourillon/1200/800
